用户手机,银行名称,银行开户名,银行账号,支行名称,银行卡手机号,提交时间,提现状态,未通过原因,提现总金额,现金金额,企业金额,实际支付金额,支付时间,处理人,交易流水号
15012345574,中国银行,陈国正,6216607000005865053,中国银行,18129962835,"2017-07-29 17:01:05",到帐成功,,0.01,0,100.00,0.01,"2017-08-02 14:38:00",SuperAdmin,2005840000140661501655572wOwacszfcO
15012345574,平安银行,陈国正,6216607000005865053,中国银行,18129962835,"2017-07-29 16:35:02",到帐成功,,0.01,0,0,0.01,"2017-08-02 17:07:02",SuperAdmin,2005840000140661501664509WP8mtRGVsL
15912345681,工商银行,许道颜,622202123456789,工商,15912345681,"2017-07-25 22:20:05",到帐成功,,3000.00,3000.00,0,2970.00,"2017-07-25 22:21:09",SuperAdmin,
18316841709,工商银行,中一贝,622202123456789,要是,18316841709,"2017-07-25 22:20:04",到帐成功,,3000.00,3000.00,0,2970.00,"2017-07-25 22:21:13",SuperAdmin,
15012345572,中国民生银行,测试风风光光,4112225555,测试过后悔,15012345572,"2017-07-25 21:34:10",到帐成功,,1900.00,1900.00,0,1900.00,"2017-07-25 21:34:25",SuperAdmin,
18316841709,中国建设银行,公司,12554565558888,滚犊子,18316841709,"2017-07-24 21:05:06",到帐成功,,1000.00,1000.00,0,990.00,"2017-07-24 21:05:42",SuperAdmin,
15012345573,兴业银行,刘丹,1245784125,"ice 分咯啦",18129962835,"2017-07-19 17:23:07",到帐成功,,1500.00,1500.00,0,1496.55,"2017-07-19 17:27:51",SuperAdmin,
15912345681,中国民生银行,哈罗,455454545464,阿里路亚,18316841709,"2017-07-19 16:05:07",到帐成功,,10000.00,10000.00,0,9900.00,"2017-07-19 16:05:43",SuperAdmin,
15912345681,中国民生银行,哈罗,455454545464,阿里路亚,18316841709,"2017-07-19 16:03:06",到帐成功,,1000.00,1000.00,0,990.00,"2017-07-19 16:03:25",SuperAdmin,
15912345681,中国民生银行,哈罗,455454545464,阿里路亚,18316841709,"2017-07-19 15:55:20",到帐成功,,2000.00,2000.00,0,2000.00,"2017-07-19 15:56:12",SuperAdmin,
18316841709,中国建设银行,公司,12554565558888,滚犊子,18316841709,"2017-07-17 10:47:45",到帐成功,,1000.00,1000.00,0,1000.00,"2017-07-17 10:49:59",SuperAdmin,
18316841709,中国建设银行,公司,12554565558888,滚犊子,18316841709,"2017-07-14 14:08:19",到帐成功,,2000.00,2000.00,0,0,"2017-07-19 14:44:26",SuperAdmin,
18316841709,中国建设银行,公司,12554565558888,滚犊子,18316841709,"2017-07-12 15:19:49",到帐成功,,1000.00,1000.00,0,990.00,"2017-07-19 15:18:34",SuperAdmin,
15012345573,兴业银行,刘丹,1245784125,"ice 分咯啦",18129962835,"2017-07-07 16:26:47",到帐成功,,100.00,100.00,0,100.00,"2017-07-10 11:11:45",SuperAdmin,
15012345573,兴业银行,刘丹,1245784125,"ice 分咯啦",18129962835,"2017-07-07 16:24:31",到帐成功,,100.00,100.00,0,100.00,"2017-07-10 11:11:56",SuperAdmin,
15012345573,兴业银行,刘丹,1245784125,"ice 分咯啦",18129962835,"2017-07-06 18:02:56",到帐成功,,110.00,110.00,0,110.00,"2017-07-10 11:12:31",SuperAdmin,
18565780670,浦发银行,测试个好结局,622609780322,岗夏支行,18565780669,"2017-07-01 11:09:49",到帐成功,,100.00,100.00,0,100.00,"2017-07-01 11:17:59",SuperAdmin,
18565780670,浦发银行,测试个好结局,622609780322,岗夏支行,18565780669,"2017-07-01 11:07:43",到帐成功,,1500.00,1500.00,0,1500.00,"2017-07-01 11:08:12",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-30 19:52:54",到帐成功,,1000.00,1000.00,0,1000.00,"2017-06-30 19:53:02",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-30 19:48:49",到帐成功,,100.00,100.00,0,100.00,"2017-06-30 19:51:28",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-30 19:43:16",到帐成功,,1500.00,1500.00,0,1500.00,"2017-06-30 19:43:36",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-30 19:38:42",到帐成功,,100.00,0,100.00,100.00,"2017-06-30 19:39:41",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-30 19:38:21",到帐成功,,1381.00,0,1381.00,1381.00,"2017-06-30 19:38:27",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-30 19:27:15",到帐成功,,150.00,150.00,0,150.00,"2017-06-30 19:27:32",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-30 19:26:50",到帐成功,,126.00,0,126.00,126.00,"2017-06-30 19:26:57",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-30 19:21:29",到帐成功,,100.00,100.00,0,100.00,"2017-06-30 19:41:45",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-30 19:11:01",到帐成功,,100.00,100.00,0,100.00,"2017-06-30 19:11:20",SuperAdmin,
13826540521,中国银行,徐凤年,4367424162110097222,软件园一期,13826540521,"2017-06-21 15:19:06",到帐成功,,120.00,120.00,0,120.00,"2017-06-21 15:19:37",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-21 14:40:19",到帐成功,,100.00,100.00,0,100.00,"2017-06-21 14:40:48",SuperAdmin,
18565780670,中国工商银行,刘丹,1258666555555,啦啦噜,18565780669,"2017-06-21 14:04:43",到帐成功,,100.00,100.00,0,100.00,"2017-07-01 11:18:17",SuperAdmin,
18565780670,中国工商银行,刘丹,1258666555555,啦啦噜,18565780669,"2017-06-21 11:50:09",到帐成功,,100.00,100.00,0,100.00,"2017-07-01 11:18:10",SuperAdmin,
15012345450,中国工商银行,测试下本哦的,147825825,测试账号,18565780669,"2017-06-21 11:43:55",到帐成功,,100.00,0,100.00,100.00,"2017-06-21 11:44:08",SuperAdmin,
13826540521,中国银行,徐凤年,4367424162110097222,软件园一期,13826540521,"2017-06-21 11:43:22",到帐成功,,200.00,200.00,0,200.00,"2017-06-21 11:43:28",SuperAdmin,
13826540521,中国银行,徐凤年,4367424162110097222,软件园一期,13826540521,"2017-06-21 11:43:06",到帐成功,,200.00,200.00,0,200.00,"2017-06-21 11:43:14",SuperAdmin,
13826540521,中国银行,徐凤年,4367424162110097222,软件园一期,13826540521,"2017-06-21 11:35:11",到帐成功,,200.00,200.00,0,200.00,"2017-06-21 11:35:28",SuperAdmin,
15012345574,平安银行,阿尔hill用,12345678952,测屁股咯www,18129962835,"2017-06-21 11:17:40",到帐成功,,100.00,0,100.00,100.00,"2017-06-21 11:27:56",SuperAdmin,
13826540521,中国银行,徐凤年,4367424162110097222,软件园一期,13826540521,"2017-06-21 11:15:51",到帐成功,,120.00,120.00,0,120.00,"2017-06-21 11:16:02",SuperAdmin,
